Strawberry Meringues,"Ingredients : cream, sugar, vanilla, almond, strawberry, egg. Preheat your oven to 220°C (430°C). Beat the egg whites and the sugar gradually to get a meringue mixture. Cover a baking tray with baking paper and oil it lightly. Pour the...",     20 min    18 min, Easy ,true
Lemon Cake,"Ingredients : sugar, baking powder, flour, almond, lemon juice, egg, butter, lemon. In a large mixing bowl, combine the ground almonds, poppy seeds, flour and lemon zests. In a bowl, whisk the softened butter and the sugar. Add...",     20 min    40 min, Easy ,false
Lemon Cake,"Ingredients : sugar, baking powder, flour, almond, lemon juice, egg, butter, lemon. In a large mixing bowl, combine the ground almonds, poppy seeds, flour and lemon zests. In a bowl, whisk the softened butter and the sugar. Add...",     20 min    40 min, Easy ,false
